2026-07-18 10:42:10.316 | INFO     | __main__:main:266 - Iniciando en modo: BACKTEST | Par: BNBUSDT
2026-07-18 10:42:10.318 | INFO     | agents.llm_adapter:__init__:36 - Usando servidor local con modelo: trading-strategy-skeptic-qwen3-4b
2026-07-18 10:42:11.082 | INFO     | agents.llm_adapter:_init_local_client:69 - Conectado a servidor local: http://localhost:1234/v1
2026-07-18 10:42:11.083 | INFO     | agents.llm_adapter:__init__:41 - LLMAdapter: Local | Modelo: trading-strategy-skeptic-qwen3-4b
2026-07-18 10:42:11.108 | INFO     | db.client:init_model_db:70 - DB del modelo inicializada: trading-strategy-skeptic-qwen3-4b.db
2026-07-18 10:42:11.108 | INFO     | agents.brain:__init__:48 - Brain inicializado | Modelo: trading-strategy-skeptic-qwen3-4b
2026-07-18 10:42:11.110 | INFO     | execution.executor:__init__:27 - Executor: Usando MAINNET
2026-07-18 10:42:12.634 | INFO     | data.collector:__init__:28 - DataCollector: Usando MAINNET para datos históricos
2026-07-18 10:42:13.969 | INFO     | data.collector:__init__:49 - DataCollector inicializado | DB: F:\Documents\Binance_crypto-ai-agent\data\market_data.db
2026-07-18 10:42:13.972 | INFO     | db.client:init_model_db:70 - DB del modelo inicializada: trading-strategy-skeptic-qwen3-4b.db
2026-07-18 10:42:13.973 | INFO     | __main__:__init__:70 - BacktestEngine listo | Modelo: trading-strategy-skeptic-qwen3-4b | Vela inicial: 50
2026-07-18 10:42:13.974 | INFO     | __main__:run:83 - Iniciando BACKTESTING | 1 Jan 2026 → 31 Mar 2026
2026-07-18 10:42:13.974 | INFO     | data.collector:get_historical_klines:75 - Descargando klines | BNBUSDT | 1h
2026-07-18 10:42:15.686 | INFO     | __main__:run:90 - Cargadas 2137 velas | Iniciando desde vela 50

2026-07-18 10:43:11.993 | INFO     | agents.brain:analyze:390 - Vela: 50 | Precio: $878.0 | [34mHOLD [36m| Conf: [37m75%[36m | El mercado está en un régimen de bullish con fuerte ADX y movimiento de precios positivos, pero no hay ventaja clara para abrir una nueva posición.[39m
2026-07-18 10:43:12.007 | INFO     | __main__:run:241 - INFORME DEL BOOT: COMPRAS: 0 | VENTAS: 0 | OPERACIONES GANADORAS: 0 | OPERACIONES PERDEDORAS: 0 | BALANCE: 100.0
2026-07-18 10:43:58.567 | INFO     | agents.brain:analyze:390 - Vela: 51 | Precio: $879.2 | [34mHOLD [36m| Conf: [37m75%[36m | El mercado muestra un régimen de bullish pero con bajo volumen y un histograma negativo MACD. Esto sugiere potencial para una corrección en lugar de un rallye.[39m
2026-07-18 10:43:58.584 | INFO     | __main__:run:241 - INFORME DEL BOOT: COMPRAS: 0 | VENTAS: 0 | OPERACIONES GANADORAS: 0 | OPERACIONES PERDEDORAS: 0 | BALANCE: 100.0
2026-07-18 10:44:35.604 | INFO     | agents.brain:analyze:390 - Vela: 52 | Precio: $879.23 | [34mHOLD [36m| Conf: [37m70%[36m | El mercado está en un régimen de bullish, pero con bajo volumen y histograma negativo de MACD, es prudente mantener en lugar de asumir un riesgo direccional.[39m
2026-07-18 10:44:35.624 | INFO     | __main__:run:241 - INFORME DEL BOOT: COMPRAS: 0 | VENTAS: 0 | OPERACIONES GANADORAS: 0 | OPERACIONES PERDEDORAS: 0 | BALANCE: 100.0
