2026-07-17 22:46:12.295 | INFO     | __main__:main:266 - Iniciando en modo: BACKTEST | Par: BNBUSDT
2026-07-17 22:46:12.296 | INFO     | agents.llm_adapter:__init__:36 - Usando servidor local con modelo: trading-strategy-skeptic-qwen3-4b
2026-07-17 22:46:12.918 | INFO     | agents.llm_adapter:_init_local_client:69 - Conectado a servidor local: http://localhost:1234/v1
2026-07-17 22:46:12.919 | INFO     | agents.llm_adapter:__init__:41 - LLMAdapter: Local | Modelo: trading-strategy-skeptic-qwen3-4b
2026-07-17 22:46:12.953 | INFO     | db.client:init_model_db:70 - DB del modelo inicializada: trading-strategy-skeptic-qwen3-4b.db
2026-07-17 22:46:12.954 | INFO     | agents.brain:__init__:48 - Brain inicializado | Modelo: trading-strategy-skeptic-qwen3-4b
2026-07-17 22:46:12.955 | INFO     | execution.executor:__init__:27 - Executor: Usando MAINNET
2026-07-17 22:46:14.236 | INFO     | data.collector:__init__:28 - DataCollector: Usando MAINNET para datos históricos
2026-07-17 22:46:15.334 | INFO     | data.collector:__init__:49 - DataCollector inicializado | DB: F:\Documents\Binance_crypto-ai-agent\data\market_data.db
2026-07-17 22:46:15.335 | INFO     | db.client:init_model_db:70 - DB del modelo inicializada: trading-strategy-skeptic-qwen3-4b.db
2026-07-17 22:46:15.336 | INFO     | __main__:__init__:70 - BacktestEngine listo | Modelo: trading-strategy-skeptic-qwen3-4b | Vela inicial: 50
2026-07-17 22:46:15.337 | INFO     | __main__:run:83 - Iniciando BACKTESTING | 1 Jan 2026 → 31 Mar 2026
2026-07-17 22:46:15.338 | INFO     | data.collector:get_historical_klines:75 - Descargando klines | BNBUSDT | 1h
2026-07-17 22:46:16.975 | INFO     | __main__:run:90 - Cargadas 2137 velas | Iniciando desde vela 50

2026-07-17 22:46:27.991 | INFO     | agents.brain:analyze:390 - Vela: 50 | Precio: $878.0 | [32mBUY [36m| Conf: [37m85%[36m | El régimen de toros y el movimiento de precios positivos indican una tendencia potencial hacia arriba.[39m
2026-07-17 22:46:28.009 | INFO     | __main__:run:186 - [32mVela: [50] Comprando @ 85%[39m | [32mPrecio: $878.00[39m
2026-07-17 22:46:28.010 | INFO     | __main__:run:241 - INFORME DEL BOOT: COMPRAS: 1 | VENTAS: 0 | OPERACIONES GANADORAS: 0 | OPERACIONES PERDEDORAS: 0 | BALANCE: 100.0
2026-07-17 22:46:38.149 | INFO     | agents.brain:analyze:390 - Vela: 51 | Precio: $879.2 | [33mSELL [36m| Conf: [37m85%[36m | El precio actual está por encima del punto de entrada con un PnL positivo, pero el histograma MACD indica el debilitamiento del impulso. El RSI está en un rango neutro, y el volumen es bajo, sugiriendo potencial para una inversión.[39m
2026-07-17 22:46:38.167 | INFO     | __main__:run:226 - [33mVela: [51] Vendiendo @ 85%[39m | [33mPrecio: $879.20[39m | [33mPnL: +0.14%[39m
2026-07-17 22:46:38.167 | INFO     | __main__:run:241 - INFORME DEL BOOT: COMPRAS: 1 | VENTAS: 1 | OPERACIONES GANADORAS: 1 | OPERACIONES PERDEDORAS: 0 | BALANCE: 100.14
2026-07-17 22:46:49.030 | INFO     | agents.brain:analyze:390 - Vela: 52 | Precio: $879.23 | [34mHOLD [36m| Conf: [37m70%[36m | El mercado está actualmente en un régimen de bullish, pero con bajo volumen y un histograma negativo MACD, es prudente mantener en lugar de asumir riesgos direccionales.[39m
2026-07-17 22:46:49.077 | INFO     | __main__:run:241 - INFORME DEL BOOT: COMPRAS: 1 | VENTAS: 1 | OPERACIONES GANADORAS: 1 | OPERACIONES PERDEDORAS: 0 | BALANCE: 100.14
2026-07-17 22:47:09.793 | INFO     | agents.brain:analyze:390 - Vela: 53 | Precio: $876.63 | [33mSELL [36m| Conf: [37m75%[36m | El RSI está por debajo de 50, indicando condiciones de sobreventa. El histograma MACD es negativo, sugiriendo el impulso oso. La posición de Bandas Bollinger es de 40,6%, que es relativamente baja. Si bien el volumen es bajo, el ADX de 59.0 indica una fuerte continuación de la tendencia. Sin embargo, la tendencia OBV está bajando, y el precio está por debajo de EMA50. Estos factores apuntan a una posible breve oportunidad.[39m
2026-07-17 22:47:09.803 | INFO     | __main__:run:241 - INFORME DEL BOOT: COMPRAS: 1 | VENTAS: 1 | OPERACIONES GANADORAS: 1 | OPERACIONES PERDEDORAS: 0 | BALANCE: 100.14
2026-07-17 22:47:25.217 | INFO     | agents.brain:analyze:390 - Vela: 54 | Precio: $874.13 | [33mSELL [36m| Conf: [37m85%[36m | El RSI está en un nivel bajo (27.6), indicando las condiciones de sobreventa, y el histograma MACD es negativo (-1.2034), lo que sugiere el impulso oso. La posición de Bandas Bollinger también está por debajo de la media, además de apoyar una posición corta.[39m
2026-07-17 22:47:25.231 | INFO     | __main__:run:241 - INFORME DEL BOOT: COMPRAS: 1 | VENTAS: 1 | OPERACIONES GANADORAS: 1 | OPERACIONES PERDEDORAS: 0 | BALANCE: 100.14
2026-07-17 22:47:51.354 | INFO     | agents.brain:analyze:390 - Vela: 55 | Precio: $873.0 | [33mSELL [36m| Conf: [37m85%[36m | El RSI está en un nivel muy bajo (25.3), indicando condiciones de sobreventa. El histograma MACD es negativo (-1.4272), lo que sugiere el impulso oso. Aunque la posición de Bandas Bollinger es relativamente alta (19,1%), esto puede no ser suficiente para justificar una compra. Dada la fuerte tendencia de los toros y la caída del OBV, es prudente considerar cerrar una posición larga o abrir una posición corta.[39m
2026-07-17 22:47:51.367 | INFO     | __main__:run:241 - INFORME DEL BOOT: COMPRAS: 1 | VENTAS: 1 | OPERACIONES GANADORAS: 1 | OPERACIONES PERDEDORAS: 0 | BALANCE: 100.14
2026-07-17 22:48:00.475 | INFO     | agents.brain:analyze:390 - Vela: 56 | Precio: $874.24 | [33mSELL [36m| Conf: [37m75%[36m | El RSI está en un nivel bajo indicando potencial para mayor declive, y el histograma MACD muestra impulso negativo.[39m
2026-07-17 22:48:00.490 | INFO     | __main__:run:241 - INFORME DEL BOOT: COMPRAS: 1 | VENTAS: 1 | OPERACIONES GANADORAS: 1 | OPERACIONES PERDEDORAS: 0 | BALANCE: 100.14
2026-07-17 22:48:09.059 | INFO     | agents.brain:analyze:390 - Vela: 57 | Precio: $874.74 | [33mSELL [36m| Conf: [37m85%[36m | El régimen oso, fuerte ADX, y la tendencia descendente del OBV indican un potencial movimiento descendente.[39m
2026-07-17 22:48:09.077 | INFO     | __main__:run:241 - INFORME DEL BOOT: COMPRAS: 1 | VENTAS: 1 | OPERACIONES GANADORAS: 1 | OPERACIONES PERDEDORAS: 0 | BALANCE: 100.14
2026-07-17 22:48:19.669 | INFO     | agents.brain:analyze:390 - Vela: 58 | Precio: $873.56 | [33mSELL [36m| Conf: [37m85%[36m | El régimen oso, fuerte ADX, y la tendencia descendente del OBV indican un potencial movimiento descendente.[39m
2026-07-17 22:48:19.682 | INFO     | __main__:run:241 - INFORME DEL BOOT: COMPRAS: 1 | VENTAS: 1 | OPERACIONES GANADORAS: 1 | OPERACIONES PERDEDORAS: 0 | BALANCE: 100.14
2026-07-17 22:48:32.634 | INFO     | agents.brain:analyze:390 - Vela: 59 | Precio: $874.24 | [33mSELL [36m| Conf: [37m85%[36m | El régimen oso es confirmado por fuertes valores ADX y RSI(14). El precio está por debajo de EMA50 con un bajo volumen, indicando potencial movimiento hacia abajo.[39m
2026-07-17 22:48:32.648 | INFO     | __main__:run:241 - INFORME DEL BOOT: COMPRAS: 1 | VENTAS: 1 | OPERACIONES GANADORAS: 1 | OPERACIONES PERDEDORAS: 0 | BALANCE: 100.14
2026-07-17 22:48:50.910 | INFO     | agents.brain:analyze:390 - Vela: 60 | Precio: $875.26 | [33mSELL [36m| Conf: [37m85%[36m | El RSI está en un nivel muy bajo (25.2), indicando condiciones de sobreventa. El histograma MACD es negativo (-1.0567), lo que sugiere el impulso oso. Además, la posición de Bandas Bollinger muestra que el precio está por debajo de la banda inferior en un 29,6%, lo que además apoya una decisión de venta.[39m
2026-07-17 22:48:50.934 | INFO     | db.client:save_progress:180 - Progreso guardado | Vela: 60 | Balance: $100.14 | Session: BACKTEST_2cd...
2026-07-17 22:48:50.935 | INFO     | __main__:run:237 - ----------------------------------------------------------------------------------------------------
2026-07-17 22:48:50.936 | INFO     | __main__:run:238 - [37mProgreso: 60/2137 velas | Balance: $100.14 | Win Rate: 100.0%[39m
2026-07-17 22:48:50.936 | INFO     | __main__:run:240 - ----------------------------------------------------------------------------------------------------
2026-07-17 22:48:50.937 | INFO     | __main__:run:241 - INFORME DEL BOOT: COMPRAS: 1 | VENTAS: 1 | OPERACIONES GANADORAS: 1 | OPERACIONES PERDEDORAS: 0 | BALANCE: 100.14
2026-07-17 22:49:00.245 | INFO     | agents.brain:analyze:390 - Vela: 61 | Precio: $877.07 | [33mSELL [36m| Conf: [37m85%[36m | El régimen oso y el histograma negativo de MACD indican una tendencia potencial hacia abajo.[39m
2026-07-17 22:49:00.263 | INFO     | __main__:run:241 - INFORME DEL BOOT: COMPRAS: 1 | VENTAS: 1 | OPERACIONES GANADORAS: 1 | OPERACIONES PERDEDORAS: 0 | BALANCE: 100.14
2026-07-17 22:49:11.333 | INFO     | agents.brain:analyze:390 - Vela: 62 | Precio: $874.22 | [33mSELL [36m| Conf: [37m85%[36m | El mercado está en un régimen oso con fuerte ADX y RSI(14) indicando potencial movimiento hacia abajo.[39m
2026-07-17 22:49:11.349 | INFO     | __main__:run:241 - INFORME DEL BOOT: COMPRAS: 1 | VENTAS: 1 | OPERACIONES GANADORAS: 1 | OPERACIONES PERDEDORAS: 0 | BALANCE: 100.14
2026-07-17 22:49:20.949 | INFO     | agents.brain:analyze:390 - Vela: 63 | Precio: $873.44 | [33mSELL [36m| Conf: [37m85%[36m | El régimen oso y la tendencia descendente del OBV indican un posible movimiento descendente.[39m
2026-07-17 22:49:20.964 | INFO     | __main__:run:241 - INFORME DEL BOOT: COMPRAS: 1 | VENTAS: 1 | OPERACIONES GANADORAS: 1 | OPERACIONES PERDEDORAS: 0 | BALANCE: 100.14
2026-07-17 22:49:33.816 | INFO     | agents.brain:analyze:390 - Vela: 64 | Precio: $875.82 | [33mSELL [36m| Conf: [37m85%[36m | El régimen oso y el fuerte ADX indican una caída. El RSI está por debajo de 50, sugiriendo condiciones de sobreventa, mientras que el histograma MACD muestra impulso negativo.[39m
2026-07-17 22:49:33.828 | INFO     | __main__:run:241 - INFORME DEL BOOT: COMPRAS: 1 | VENTAS: 1 | OPERACIONES GANADORAS: 1 | OPERACIONES PERDEDORAS: 0 | BALANCE: 100.14
2026-07-17 22:49:48.236 | INFO     | agents.brain:analyze:390 - Vela: 65 | Precio: $876.77 | [33mSELL [36m| Conf: [37m85%[36m | El régimen oso y el fuerte ADX indican una tendencia descendente. El RSI está por debajo de 50, sugiriendo condiciones de sobreventa, mientras que el histograma MACD es negativo, reforzando la señal de venta.[39m
2026-07-17 22:49:48.250 | INFO     | __main__:run:241 - INFORME DEL BOOT: COMPRAS: 1 | VENTAS: 1 | OPERACIONES GANADORAS: 1 | OPERACIONES PERDEDORAS: 0 | BALANCE: 100.14
2026-07-17 22:50:01.651 | INFO     | agents.brain:analyze:390 - Vela: 66 | Precio: $876.96 | [33mSELL [36m| Conf: [37m85%[36m | El régimen oso y el fuerte ADX indican una tendencia descendente. El RSI está por debajo de 50, sugiriendo condiciones de sobreventa, mientras que el histograma MACD muestra impulso negativo.[39m
2026-07-17 22:50:01.662 | INFO     | __main__:run:241 - INFORME DEL BOOT: COMPRAS: 1 | VENTAS: 1 | OPERACIONES GANADORAS: 1 | OPERACIONES PERDEDORAS: 0 | BALANCE: 100.14
